rated,turns,winner,white_rating,black_rating,moves,opening_name,opening_eco
True,80,draw,1995,1934,b2b4 g8f6 g1f3 b8c6 e2e4 e7e5 h2h4 c6b4 d1e2 b4c2 e1d1 d7d5 e4d5 c8h3 d1c2 d8d5 h1h3 d5a2 a1a2 e8c8 f3e5 f6d5 a2a6 d8d6 a6a7 c8b8 a7b7 b8c8 b1c3 d6e6 b7c7 c8c7 e5f7 e6e2 f1e2 d5c3 d2c3 c7b8 f7e5 g7g5 c1g5 f8c5 e2h5 c5f2 c2d1 f2c5 h5f7 c5d4 c3d4 h8e8 f7e8 h7h5 e8h5 b8a7 h3h1 a7b7 d1c1 b7b8 h1d1 b8a7 h5f3 a7b6 f3a8 b6a7 g5d8 a7a8 d8e7 a8b7 e7d6 b7a8 c1b1 a8a7 d1d2 a7b7 e5d3 b7c8 d4d5 c8b7 d3e1 b7a7,Generated,A00
True,80,draw,1287,1647,g1f3 b8c6 b1c3 g8f6 e2e4 f6e4 c3e4 d7d6 e4d6 c7d6 f3e5 c6e5 d1e2 c8d7 e2e4 d7f5 c2c4 d6d5 c4d5 d8d5 e4e5 d5g2 e5f5 g2f2 e1f2 e7e5 f5h7 h8h7 f2g1 a7a6 f1a6 b7a6 h2h4 f8b4 d2d3 e8f8 c1g5 h7h8 a1e1 b4d2 d3d4 e5d4 h4h5 d2g5 h1h2 f8g8 h2e2 a8b8 e2e7 b8b2 e7e6 g5c1 e6b6 h8h5 e1e4 b2b6 a2a4 c1b2 e4d4 h5d5 d4d1 d5d1 g1f2 b2d4 f2g2 d1h1 a4a5 h1f1 g2h2 f1f2 h2h3 f2f4 a5b6 d4b6 h3h2 f4e4 h2g3 e4e2 g3f4 e2d2,Generated,A00
True,80,draw,1450,2076,d2d4 g8f6 e2e4 f6e4 g1f3 d7d5 f1c4 e7e5 c4d5 e4f2 e1f2 e5d4 f3d4 f8e7 b1c3 b8d7 d5f7 e8f8 c3a4 f8f7 c1f4 f7f8 f4c7 d8c7 a4b6 a7b6 f2f1 a8a2 f1g1 c7c2 a1a2 c2c7 d4e6 f8e8 d1b3 e7b4 e6g7 e8e7 g7e6 c7h2 g1f2 h2h1 b3b4 e7e8 b4f4 d7c5 a2a7 h7h5 f4e4 c8e6 a7b7 c5b7 e4c4 b7c5 c4c5 b6c5 f2e2 h1g2 e2d1 g2b2 d1e1 b2a2 e1d1 a2b2 d1e1 b2f6 e1d2 e8f8 d2d1 h5h4 d1e2 f8g8 e2e1 f6g6 e1f2 g6h7 f2g2 h7d7 g2h2 d7a7,Generated,A00
True,31,white,1960,2020,b1a3 g8f6 g1f3 b8c6 f3g5 e7e5 a3c4 f8c5 g5f7 d7d5 f7d8 c6a5 c4e5 a5c4 d8c6 c4b2 c1b2 c8e6 d2d4 e8g8 e5d7 a8d8 c6d8 f6d7 d4c5 f8d8 d1d5 d7f6 d5d8 f6e8 d8e8,Generated,A00
True,39,white,1204,1315,e2e4 d7d5 e4d5 b8a6 b1c3 d8d7 f1a6 g8f6 g1f3 b7a6 d2d4 e7e5 f3e5 f6e4 e5f7 d7f7 c3e4 f8d6 e1g1 f7f8 f2f3 c8g4 f3g4 f8f5 g4f5 e8g8 e4d6 c7d6 c1f4 a8c8 f4g3 f8f5 d1b1 f5e5 g3e5 c8c2 e5d6 c2c3 f1f8,Generated,A00
True,80,draw,1853,1371,h2h3 d7d5 g1f3 c8h3 g2g3 b8d7 h1h3 e7e5 f3e5 d7e5 d2d4 g8f6 d4e5 f8e7 e5f6 g7f6 h3h7 e8g8 d1d5 g8h7 d5f7 f8f7 b1c3 d8d4 e2e4 d4e4 c1e3 e4e3 c3e2 e3d3 c2d3 f6f5 a1b1 e7d6 b1d1 a8b8 d3d4 d6g3 a2a3 b8c8 f1g2 f5f4 f2g3 h7h8 e2f4 c8f8 g2b7 a7a6 d1a1 h8g7 b7d5 f7f5 e1f1 f8d8 f1g1 f5d5 a1c1 g7g8 f4d5 d8a8 g1f1 a8c8 d5c7 c8e8 c7d5 e8e4 c1c5 e4e3 d5e3 g8f7 c5c7 f7e8 e3d5 e8d8 c7b7 d8c8 f1g2 c8d8 g3g4 a6a5,Generated,A00
True,80,draw,1590,2018,b1c3 b8c6 g1f3 e7e5 e2e4 g8f6 f1c4 f8c5 e1g1 c5f2 g1h1 d7d5 c3d5 f6d5 f1f2 d8d6 f3e5 d6e5 c4d5 e5e4 d5c6 b7c6 f2f7 e4c2 d1c2 c8b7 f7c7 e8f8 c7g7 c6c5 g7h7 b7e4 c2e4 a8c8 h7h8 f8g7 d2d4 g7h8 c1e3 h8g8 e4c6 c5c4 c6c4 g8f8 g2g3 c8c4 a1d1 f8g8 h2h3 a7a6 a2a4 c4c8 h1g2 c8d8 g2g1 d8d7 d1b1 d7d4 g1g2 d4d2 e3d2 a6a5 d2a5 g8g7 b1e1 g7f8 e1e4 f8f7 a5c3 f7g6 g2g1 g6h7 c3e5 h7g8 e4e3 g8h7 e5f6 h7g8 e3b3 g8f7,Generated,A00
True,49,white,2189,2164,d2d4 e7e5 d4e5 b8c6 g1f3 g8e7 b1d2 d7d6 e2e3 d6e5 f1d3 c8d7 e1g1 e7f5 d3f5 f8d6 f5h7 e8f8 h7f5 d7e6 a2a3 e6f5 f3e5 c6e5 f1e1 h8h2 e3e4 d6a3 e4f5 d8d2 c1d2 a3c5 a1a7 h2g2 g1g2 c5f2 g2f2 f8g8 a7a8 g8h7 e1e5 g7g5 d2g5 b7b6 d1d3 h7g7 f2f3 f7f6 d3d7,Generated,A00
True,80,draw,1940,2079,g1f3 d7d5 d2d4 b8d7 b1c3 e7e5 d4e5 g8f6 e2e3 h7h6 d1d5 f8b4 d5b7 d7e5 f3e5 b4c3 c1d2 g7g6 b7c8 c3e5 e3e4 d8c8 e1c1 e5h2 d2f4 c7c6 f4h6 h8g8 h6e3 h2d6 e3a7 c8f5 f1d3 a8a7 h1e1 f5e4 c1b1 d6e5 d3e4 e5b2 b1b2 a7a2 b2c1 a2c2 c1b1 f6e4 b1c2 e8f8 e1e4 c6c5 e4e1 f7f5 e1e5 g6g5 e5c5 g5g4 c5c6 f5f4 c2b1 f8e8 d1g1 e8e7 c6c3 f4f3 c3f3 e7d8 g1c1 d8e7 c1c7 e7d8 f3e3 d8c7 b1b2 c7b8 e3e2 g8c8 b2a2 c8c7 a2b1 c7g7,Generated,A00
True,80,draw,1276,1986,e2e4 d7d5 g1f3 b8c6 e4d5 g8f6 d5c6 b7c6 f1c4 d8d2 e1d2 e7e5 f3e5 f8d6 e5f7 c8f5 a2a4 e8g8 f7d6 g8h8 b1c3 f5c2 d1c2 a8e8 c3d5 c6d5 a4a5 c7d6 h1d1 f6e4 c2e4 e8e4 c4a2 f8f2 d2d3 e4e7 a2d5 f2b2 c1e3 b2g2 d5g2 h8g8 e3a7 g7g5 d3d2 e7e2 d2c3 g5g4 a7c5 e2g2 c5d6 g8f7 d6f4 f7g7 a5a6 g7g8 f4d6 h7h5 c3d3 g2c2 d3c2 h5h4 a6a7 h4h3 a7a8r g8f7 c2b2 f7g7 a8a7 g7h8 a7e7 h8g8 e7e8 g8f7 e8e1 f7g8 d1b1 g4g3 h2g3 g8h8,Generated,A00
True,31,white,1994,2081,d2d4 d7d5 g1f3 b8d7 b1c3 g8f6 e2e4 f6e4 c3e4 d5e4 d1d3 e4f3 d3f3 e7e6 c1f4 f7f6 f4c7 f8c5 d4c5 d8c7 f3f6 c7f4 f6g7 f4h2 h1h2 d7e5 g7e5 a7a6 e5h8 e8e7 h2h7,Generated,A00
True,80,draw,1370,1542,g1f3 b8c6 d2d4 d7d5 b1c3 g8f6 c1e3 e7e5 c3d5 c6d4 f3d4 d8d5 d1d2 e5d4 d2d4 d5a2 d4f6 g7f6 e3f4 a2b2 a1a7 c7c5 e2e4 c8f5 a7a8 f5c8 f1c4 f8g7 e1g1 e8d8 a8a7 c8e6 e4e5 f6e5 a7b7 e6c8 b7f7 b2c2 f7g7 c2c4 f1b1 c4f4 h2h3 c8h3 b1e1 h3g2 e1e5 f4e5 g7g2 c5c4 g2g7 c4c3 g7h7 h8h7 g1g2 h7b7 g2h1 b7b4 h1g1 b4d4 f2f4 d4f4 g1g2 c3c2 g2g1 c2c1r g1g2 d8c8 g2h2 c8b8 h2h3 f4f6 h3g4 c1c6 g4h3 c6c2 h3h4 f6c6 h4h3 e5c5,Generated,A00
True,80,draw,2066,1387,g1f3 g8f6 e2e3 d7d5 d2d3 e7e5 f3e5 c8e6 b1c3 b8d7 f2f3 f8c5 e5d7 f6d7 g2g4 c5e3 c3d5 e6d5 f3f4 d5a2 a1a2 e3c1 a2a7 c1f4 a7b7 a8a2 f1g2 e8g8 e1g1 a2b2 b7c7 f4c7 d1d2 d8h4 d3d4 h4g4 f1f7 g4d4 d2d4 g8f7 d4g7 f7e6 g7d7 e6e5 d7h7 b2c2 h7c2 f8f2 c2e2 e5f6 g2e4 f6e6 g1f2 e6e7 f2g2 e7f7 e2e3 f7g8 g2g1 c7h2 g1h1 h2f4 e4g6 f4e3 g6c2 e3f2 c2d3 f2b6 d3e4 g8h8 e4b7 h8g8 h1g2 b6d4 b7f3 d4c3 f3a8 c3d2 a8f3 d2g5,Generated,A00
True,80,draw,1541,2005,b1c3 e7e6 d2d4 d7d5 e2e4 b8c6 c3d5 c6d4 d1d4 d8d5 d4d5 g8e7 d5e6 f7e6 f1d3 c8d7 d3e2 e7f5 g1f3 f8d6 c1g5 d6h2 h1h2 e8g8 f3e5 f8e8 e5d3 f5d6 h2h3 e6e5 e1c1 d6e4 c1b1 e4f2 d3e5 d7h3 e2b5 e8e5 g2h3 f2d1 a2a4 d1b2 b1b2 e5g5 b5d3 g5g1 d3b5 g1g4 b5d3 g8f7 a4a5 f7g8 h3g4 a8b8 d3h7 g8h8 c2c4 b8e8 b2b1 h8h7 a5a6 b7a6 c4c5 e8e6 b1a1 h7g8 c5c6 e6e8 g4g5 e8e6 a1a2 g8h8 a2b2 e6f6 b2a2 f6f2 a2a3 f2g2 g5g6 g2g6,Generated,A00
True,80,draw,1774,1621,g1f3 b8c6 e2e4 g7g5 d2d4 g8f6 f3g5 f6e4 g5e4 e7e6 f1d3 d7d6 b1c3 c8d7 c1f4 e6e5 e4d6 c7d6 d3h7 e5f4 h7g6 d8b8 b2b4 h8h2 h1h2 c6d4 d1d4 f7g6 d4d6 f8d6 a1b1 d6b4 e1d2 b4c5 c3e4 c5f2 e4f2 e8f8 f2e4 d7c6 b1b7 b8b7 h2h4 f8g7 h4f4 a8h8 f4f1 c6e4 f1h1 e4c6 h1d1 g6g5 d2e2 c6g2 e2d2 g7g8 d2c1 g5g4 d1d8 g8f7 d8h8 g2c6 h8h7 f7f6 h7d7 c6d7 c2c4 f6e7 c1c2 b7c6 c2d1 c6c4 d1e1 d7b5 a2a4 b5a4 e1d2 g4g3 d2e1 a4b5,Generated,A00
True,80,draw,1887,1454,a2a4 b8c6 g1f3 e7e5 f3e5 g8e7 b1c3 e7d5 e5f7 d7d6 f7h8 c8e6 h8g6 d5c3 g2g4 c3d1 e1d1 f8e7 g6e7 a7a5 e7c6 b7c6 e2e3 e6g4 f2f3 g4f3 d1e1 g7g6 d2d3 e8f8 e3e4 h7h6 f1g2 f3g2 c1g5 g2h1 g5h6 f8e8 h6e3 d8d7 d3d4 h1f3 e1f2 f3e4 a1e1 e8f8 f2e2 f8g8 e2f1 e4c2 e1b1 c2f5 f1g1 f5b1 e3h6 b1f5 h6g5 c6c5 g5f4 d7a4 d4d5 a4c6 f4g3 c6b6 g3d6 b6b2 d6c5 b2b6 c5d4 b6d4 g1f1 a8e8 h2h4 d4d5 f1g1 f5e4 g1h2 d5d7 h2g1 d7d5,Generated,A00
True,80,draw,1806,2123,g1f3 e7e5 d2d4 g8f6 f3d2 b8c6 d4e5 d7d5 b1c3 f8c5 e2e4 c6e5 c3d5 f6d5 d1f3 c8g4 e4d5 g4f3 d2f3 d8d5 f1b5 d5d7 f3e5 c5f2 e1f2 d7c6 b5c6 e8e7 f2g1 b7c6 c1f4 a8g8 a2a3 g8e8 a1b1 c6c5 e5f7 e7f7 g1f2 c5c4 f2g1 f7e7 f4d6 e7d7 h2h3 h8f8 d6f4 f8f4 b1c1 h7h6 c1b1 f4d4 g1f2 d4d2 f2f1 c4c3 f1g1 c3b2 b1e1 a7a6 e1e3 b2b1r e3e1 e8e1 g1h2 d2c2 h3h4 e1h1 h2g3 h1h4 g3f3 c2g2 a3a4 d7d6 f3g2 d6d7 g2f2 h4h2 f2f3 b1d1,Generated,A00
True,80,draw,1656,1739,g1f3 g8f6 h2h3 e7e6 b1c3 b8c6 a2a3 f8a3 a1a3 d7d5 a3a5 e6e5 f3h4 c8h3 a5d5 f6d5 c3d5 h3g2 f1g2 e8g8 d5c7 d8h4 c7a8 h4b4 a8b6 a7b6 g2c6 f8a8 e1g1 b4d2 c6b7 d2c2 b7e4 c2c8 e2e3 c8h3 d1c2 h3c8 e4a8 c8f5 a8d5 f5f2 f1f2 h7h6 f2f7 e5e4 f7g7 g8f8 d5e4 b6b5 c1d2 f8g7 d2b4 g7g8 e4d3 g8g7 e3e4 g7g8 b4c5 b5b4 c5e7 h6h5 e7b4 g8f7 b4d2 f7g7 d2e3 h5h4 d3c4 g7h8 c4b3 h4h3 e3c5 h8h7 c2c4 h7g7 c5d4 g7h7 d4e3 h7g7,Generated,A00
True,23,white,1755,1654,b1c3 b8c6 e2e3 c6b4 g1f3 b4c2 d1c2 d7d5 f3h4 e7e5 c2h7 f7f6 h7h8 g8e7 h8f8 e8d7 f8e7 d7c6 e7e5 c8g4 e5d5 c6b6 c3a4,Generated,A00
True,80,draw,2154,2056,d2d4 e7e5 b1d2 d7d5 d4e5 g8f6 g1f3 b8d7 e2e3 f8d6 e3e4 d6e5 f3e5 f6e4 e5d7 d8d7 d2e4 d5e4 c1g5 c7c6 d1d7 c8d7 f1c4 d7e6 e1g1 h8g8 a2a3 e6c4 a1d1 c4e6 g5f4 e8e7 a3a4 g8f8 f1e1 e6d5 h2h3 c6c5 d1d5 f8d8 f4b8 d8b8 d5c5 e7f8 c5c6 f8g8 c6b6 b8c8 b6b4 c8c6 b4e4 h7h6 b2b3 c6c2 e4f4 a8b8 a4a5 c2f2 f4f2 g8h8 h3h4 b8c8 h4h5 c8d8 e1e7 f7f5 e7g7 h8g7 f2f5 d8f8 f5c5 f8b8 c5c7 g7f8 c7c2 f8g8 a5a6 b7a6 c2c6 b8d8,Generated,A00
True,80,draw,1778,1325,g1f3 e7e5 d2d4 g8f6 f3e5 g7g5 e5f7 f8a3 f7d8 b8c6 d8c6 b7c6 b2b3 a3c1 b1c3 e8g8 d1c1 f6d5 e2e4 c8b7 c3d5 g8f7 c1g5 a7a6 g5g3 c6d5 g3c7 f8e8 c7d7 f7g8 d7b5 d5e4 b5b7 e8e5 b7a8 e5e8 a8d5 g8f8 d5e4 e8e7 e4e7 f8e7 f1d3 e7f8 d3h7 a6a5 h7d3 f8g8 d3a6 g8f8 d4d5 f8g7 a6d3 g7g8 b3b4 a5b4 d3h7 g8h7 e1g1 b4b3 d5d6 b3b2 f1e1 b2b1q e1b1 h7h8 d6d7 h8h7 d7d8q h7g7 a2a3 g7h7 d8d2 h7h8 d2d3 h8g8 d3d4 g8h7 d4d5 h7g7,Generated,A00
True,76,black,1374,1926,e2e4 g7g5 g1e2 e7e5 f2f3 g8f6 d2d3 h7h6 c1g5 c7c5 g5h6 f6h5 b1d2 h8h6 f3f4 h5f4 d2b3 h6h2 c2c4 h2h1 b3c5 f4e2 e1e2 h1f1 d1f1 a7a5 f1f4 b8c6 f4d2 f8c5 d2h6 d8e7 h6c6 d7c6 d3d4 e5d4 e4e5 e7d8 e2d1 c8e6 a2a3 e6c4 d1d2 d8d5 a1d1 d5g2 d2c1 c4e6 c1b1 c5e7 d1d4 e7d8 d4d1 c6c5 d1e1 d8b6 e1c1 g2c6 c1c5 c6c5 b1a1 c5e5 a1b1 e5d6 b1a1 e8f8 b2b3 e6b3 a1b1 d6g6 b1b2 a8e8 b2a1 b3d5 a3a4 b6d4,Generated,A00
True,80,draw,1899,1578,b1c3 b8c6 h2h4 g8f6 e2e4 d7d5 e4d5 c6d4 f1c4 e7e5 g1f3 d8d5 c3d5 d4f3 e1f1 f3d2 d1d2 f6d5 c4d5 f8e7 d5f7 e8f7 d2d3 c8e6 c1e3 f7g8 f1g1 e6a2 d3h7 h8h7 e3a7 e7h4 h1h4 h7h4 a1a2 h4d4 g1f1 d4d2 f2f4 d2c2 a2a4 a8a7 f1g1 a7a4 f4f5 a4a5 f5f6 g7f6 g1h2 c2g2 h2h3 f6f5 b2b4 a5a3 h3g2 a3a1 g2f2 e5e4 f2g2 a1h1 g2f2 h1h6 f2f1 f5f4 f1f2 f4f3 b4b5 g8f7 f2g1 f3f2 g1f2 f7g7 f2g2 h6h2 g2h2 g7h7 h2g1 h7h8 g1h1 h8h7,Generated,A00
True,80,draw,1813,1907,g1f3 b8c6 e2e4 g8f6 b1c3 f6e4 c3e4 d7d5 f3e5 c8e6 e5c6 d5e4 c6b8 e6a2 b8d7 g7g6 e1e2 e8d7 d2d3 e7e5 d3d4 f8d6 d4e5 d8f8 d1d6 f8d6 c1g5 a2c4 e2e3 c4f1 a1f1 d6e5 f1a1 e5b2 e3e4 b2c2 e4f4 c2c4 f4g3 d7e8 a1b1 a8d8 b1b7 h7h6 g5d8 a7a6 d8g5 c4c1 g5c1 e8e7 c1h6 h8b8 b7b8 e7d7 g3h3 f7f5 h6g5 f5f4 b8f8 f4f3 g5e3 f3g2 h3g2 a6a5 h1d1 d7e7 f8f7 e7e6 f7c7 g6g5 e3g5 e6e5 c7c4 e5e6 g2g1 e6e5 c4c1 e5f5 d1d7 f5g5,Generated,A00
True,35,white,1555,1267,e2e4 e7e5 g1e2 b8c6 a2a4 g8e7 b1c3 d7d5 c3d5 d8d5 d2d4 d5d4 e2d4 e5d4 c1g5 c6d8 g5e7 c8f5 e7d8 f5e4 d1d4 e4c2 d4a7 e8d8 a7a8 d8d7 a8f8 c2a4 f8h8 a4c6 h8g7 d7c8 e1c1 c6g2 g7g8,Generated,A00
True,80,draw,1874,1419,g1f3 b7b5 e2e4 b8c6 d2d4 g8f6 f3e5 f6e4 f1b5 c6d4 d1f3 d4c2 e1d1 e4f6 f3a8 e7e6 a8c8 d8c8 e5f7 e8e7 f7h8 c2e3 c1e3 f6g8 h8f7 e7f7 b1c3 g8e7 e3a7 e7d5 a7c5 d5c3 d1d2 c3b5 a1b1 d7d5 c5f8 g7g5 b1d1 c8b7 f8d6 f7g7 h1g1 e6e5 d2c1 b5c3 d1d5 c3a2 c1b1 c7d6 b1a2 b7d5 a2b1 d5g2 g1f1 g2f2 b1a2 f2h2 f1f4 g5f4 a2a1 h2h6 b2b4 d6d5 b4b5 h6c6 b5c6 f4f3 a1b2 f3f2 b2b3 f2f1b b3c2 f1c4 c2b1 g7g8 b1b2 c4d3 b2a1 e5e4,Generated,A00
True,80,draw,2193,2136,d2d4 b8c6 b1c3 g8f6 e2e4 f6e4 c3e4 d7d5 g1f3 c6b8 c1f4 d5e4 f1c4 e7e5 f4e5 d8d4 a2a4 d4e5 f3e5 b8d7 e5f7 d7f6 f7h8 f8d6 h8f7 c8f5 d1c1 e8f8 f7e5 d6e5 c1d2 f5g6 a1d1 e5b2 e1e2 g6f5 d2d5 b2e5 d5e5 e4e3 e5e3 a7a6 d1d7 f5d7 h1e1 d7a4 c4d3 a4b3 e1f1 f8g8 c2b3 f6g4 e3g5 a8e8 g5e5 e8e5 e2d2 e5e2 d2c3 g4h2 d3h7 g8f8 f2f4 e2e4 f1f2 e4e6 c3b2 e6e2 f2e2 h2f3 g2f3 g7g5 h7d3 g5g4 f3g4 a6a5 b3b4 f8g8 e2e4 b7b6,Generated,A00
True,45,white,1292,1992,b1c3 g8f6 e2e4 c7c5 f1e2 b8c6 d2d3 e7e5 c1e3 d7d5 e4d5 d8a5 g1f3 f6d5 e1g1 d5c3 f3e5 a8b8 e5f7 e8f7 e3c5 g7g6 b2c3 a5c3 e2h5 c3c5 h5e2 c5c2 d1c2 f7g7 d3d4 c6d4 f1e1 c8h3 e2d3 h3g2 g1g2 d4c2 a1b1 c2e1 g2g1 b8a8 b1b7 g7g8 d3c4,Generated,A00
